FIPS,without_decimal,Percent_Below_Poverty
54003,1218,12.18
29063,1219,12.19
27061,1219,12.19
37021,1220,12.2
40011,1220,12.2
48095,1221,12.21
1115,1221,12.21
12103,1222,12.22
5085,1223,12.23
12129,1223,12.23
36081,1223,12.23
31179,1223,12.23
34007,1224,12.24
31147,1224,12.24
48077,1224,12.24
18131,1224,12.24
24043,1225,12.25
27027,1226,12.26
48111,1226,12.26
39019,1228,12.28
30101,1228,12.28
48287,1229,12.29
17021,1229,12.29
54073,1230,12.3
31021,1230,12.3
42043,1231,12.31
55059,1231,12.31
23015,1231,12.31
48503,1232,12.32
39013,1233,12.33
30081,1233,12.33
42061,1235,12.35
20055,1235,12.35
21073,1236,12.36
20137,1236,12.36
46075,1236,12.36
30071,1236,12.36
49025,1236,12.36
38083,1237,12.37
27095,1237,12.37
17011,1238,12.38
18039,1239,12.39
55023,1239,12.39
42111,1239,12.39
47167,1240,12.4
18049,1240,12.4
20031,1240,12.4
27149,1241,12.41
12035,1241,12.41
13029,1241,12.41
13111,1241,12.41
48167,1241,12.41
34033,1241,12.41
31163,1241,12.41
49033,1242,12.42
18093,1242,12.42
22063,1242,12.42
19063,1242,12.42
51097,1243,12.43
56007,1243,12.43
55101,1243,12.43
41015,1243,12.43
55013,1243,12.43
42107,1244,12.44
41001,1244,12.44
31101,1245,12.45
17001,1245,12.45
17075,1245,12.45
22121,1246,12.46
18023,1247,12.47
1089,1248,12.48
17103,1249,12.49
38071,1249,12.49
42077,1249,12.49
6079,1250,12.5
33007,1251,12.51
31109,1251,12.51
31001,1251,12.51
40093,1252,12.52
48475,1252,12.52
27151,1252,12.52
20185,1252,12.52
16013,1253,12.53
19143,1253,12.53
54093,1253,12.53
39017,1253,12.53
37101,1253,12.53
31053,1253,12.53
45063,1254,12.54
53043,1254,12.54
48081,1254,12.54
49047,1255,12.55
49027,1256,12.56
29107,1256,12.56
54069,1256,12.56
8075,1256,12.56
19025,1257,12.57
48049,1258,12.58
50005,1259,12.59
27031,1259,12.59
37137,1260,12.6
49023,1260,12.6
30067,1261,12.61
13013,1261,12.61
53003,1262,12.62
42123,1263,12.63
18021,1263,12.63
41053,1264,12.64
48217,1265,12.65
31047,1266,12.66
30065,1266,12.66
53051,1267,12.67
56003,1267,12.67
26147,1268,12.68
19193,1268,12.68
17157,1269,12.69
46081,1269,12.69
30045,1269,12.69
31037,1270,12.7
8027,1270,12.7
42015,1271,12.71
55125,1271,12.71
12101,1273,12.73
46079,1274,12.74
35043,1275,12.75
26109,1275,12.75
6109,1275,12.75
13177,1276,12.76
16035,1278,12.78
18009,1278,12.78
39133,1279,12.79
29121,1280,12.8
13221,1280,12.8
12067,1281,12.81
23011,1281,12.81
35049,1281,12.81
39147,1281,12.81
39157,1281,12.81
48341,1282,12.82
13097,1282,12.82
19177,1282,12.82
18111,1283,12.83
47065,1283,12.83
30075,1283,12.83
53059,1284,12.84
55105,1285,12.85
48097,1285,12.85
37167,1286,12.86
8031,1286,12.86
20155,1286,12.86
12045,1287,12.87
46029,1287,12.87
42121,1287,12.87
55001,1288,12.88
55063,1289,12.89
48295,1289,12.89
17187,1290,12.9
27145,1290,12.9
27169,1290,12.9
19039,1291,12.91
39173,1292,12.92
29209,1292,12.92
26041,1293,12.93
19021,1293,12.93
48379,1294,12.94
38037,1294,12.94
48099,1294,12.94
37121,1295,12.95
53031,1296,12.96
56013,1296,12.96
16043,1296,12.96
18099,1298,12.98
51125,1299,12.99
31017,1299,12.99
31009,1300,13
19091,1301,13.01
21239,1302,13.02
17171,1303,13.03
4025,1303,13.03
26063,1304,13.04
6011,1304,13.04
20061,1304,13.04
17061,1307,13.07
17069,1307,13.07
12011,1307,13.07
6053,1307,13.07
48181,1307,13.07
30011,1308,13.08
19045,1308,13.08
26141,1309,13.09
12071,1309,13.09
19097,1309,13.09
26071,1309,13.09
53041,1309,13.09
51183,1309,13.09
39083,1310,13.1
50019,1310,13.1
20021,1310,13.1
5005,1311,13.11
41057,1311,13.11
55099,1313,13.13
6087,1313,13.13
4021,1315,13.15
13247,1315,13.15
48175,1315,13.15
31183,1315,13.15
37069,1316,13.16
32001,1316,13.16
51036,1316,13.16
39077,1317,13.17
36051,1318,13.18
54009,1318,13.18
51580,1318,13.18
55075,1318,13.18
42097,1319,13.19
42113,1320,13.2
51011,1320,13.2
40151,1320,13.2
37133,1321,13.21
37035,1322,13.22
39153,1322,13.22
55067,1323,13.23
42117,1323,13.23
20013,1323,13.23
17119,1324,13.24
21093,1324,13.24
47089,1324,13.24
42039,1325,13.25
13257,1325,13.25
8033,1325,13.25
16033,1325,13.25
12131,1325,13.25
18003,1326,13.26
39073,1326,13.26
40147,1326,13.26
53071,1326,13.26
41043,1327,13.27
17191,1327,13.27
32013,1328,13.28
30099,1329,13.29
30079,1330,13.3
30013,1330,13.3
48327,1331,13.31
47125,1331,13.31
29199,1331,13.31
48361,1331,13.31
4011,1331,13.31
12111,1332,13.32
13011,1332,13.32
16069,1333,13.33
16087,1333,13.33
20073,1333,13.33
34001,1333,13.33
48417,1333,13.33
31005,1335,13.35
17099,1335,13.35
18005,1335,13.35
29035,1335,13.35
29059,1335,13.35
16075,1336,13.36
20043,1336,13.36
50009,1338,13.38
27165,1339,13.39
8051,1340,13.4
48239,1340,13.4
29219,1341,13.41
16027,1341,13.41
37087,1342,13.42
45057,1343,13.43
41055,1344,13.44
46015,1345,13.45
42087,1345,13.45
42059,1345,13.45
