State,FIPS,Value (Dollars),Rank within US
"Shawnee County, Kansas",20177,56762,1035 of 3146
"Waseca County, Minnesota",27161,56762,1035 of 3146
"Essex County, New York",36031,56763,1034 of 3146
"Cuming County, Nebraska",31039,56768,1033 of 3146
"Brevard County, Florida",12009,56775,1032 of 3146
"Noble County, Indiana",18113,56789,1031 of 3146
"Smith County, Texas",48423,56810,1030 of 3146
"Victoria County, Texas",48469,56834,1029 of 3146
"Pleasants County, West Virginia",54073,56838,1028 of 3146
"Chatham County, Georgia",13051,56842,1027 of 3146
"Oneida County, Wisconsin",55085,56852,1026 of 3146
"Lyon County, Nevada",32019,56875,1024 of 3146
"Sanborn County, South Dakota",46111,56875,1024 of 3146
"Dillingham Census Area, Alaska",2070,56898,1023 of 3146
"Spokane County, Washington",53063,56904,1022 of 3146
"Dixon County, Nebraska",31051,56905,1021 of 3146
"Callaway County, Missouri",29027,56938,1020 of 3146
"Camden County, Georgia",13039,56951,1018 of 3146
"St. Clair County, Michigan",26147,56951,1018 of 3146
"Wicomico County, Maryland",24045,56956,1017 of 3146
"Lafayette Parish, Louisiana",22055,56999,1016 of 3146
"Carbon County, Pennsylvania",42025,57006,1015 of 3146
"Chase County, Nebraska",31029,57009,1014 of 3146
"Elkhart County, Indiana",18039,57021,1013 of 3146
"Weston County, Wyoming",56045,57031,1012 of 3146
"Pennington County, South Dakota",46103,57039,1011 of 3146
"Ionia County, Michigan",26067,57043,1010 of 3146
"Hutchinson County, South Dakota",46067,57089,1009 of 3146
"Hall County, Nebraska",31079,57104,1008 of 3146
"Butler County, Iowa",19023,57115,1007 of 3146
"Scott County, Illinois",17171,57118,1006 of 3146
"Buena Vista County, Iowa",19021,57125,1005 of 3146
"Worth County, Iowa",19195,57130,1004 of 3146
"Bexar County, Texas",48029,57157,1003 of 3146
"Kanabec County, Minnesota",27065,57163,1002 of 3146
"Salem City, Virginia",51775,57165,1001 of 3146
"Maury County, Tennessee",47119,57170,1000 of 3146
"Clay County, Nebraska",31035,57173,999 of 3146
"Hancock County, Maine",23009,57178,998 of 3146
"Summit County, Ohio",39153,57181,997 of 3146
"Carteret County, North Carolina",37031,57194,996 of 3146
"Brule County, South Dakota",46015,57196,995 of 3146
"Charles City County, Virginia",51036,57198,994 of 3146
"Plaquemines Parish, Louisiana",22075,57204,993 of 3146
"Hamilton County, Ohio",39061,57212,992 of 3146
"Franklin County, Missouri",29071,57214,991 of 3146
"Franklin County, Idaho",16041,57215,990 of 3146
"Hancock County, Kentucky",21091,57217,989 of 3146
"Sumter County, Florida",12119,57226,988 of 3146
"Moffat County, Colorado",8081,57229,987 of 3146
"Pender County, North Carolina",37141,57240,986 of 3146
"Kootenai County, Idaho",16055,57242,985 of 3146
"Shenandoah County, Virginia",51171,57252,984 of 3146
"Washington County, New York",36115,57258,983 of 3146
"Bond County, Illinois",17005,57289,982 of 3146
"Fayette County, Kentucky",21067,57291,981 of 3146
"Spencer County, Indiana",18147,57305,980 of 3146
"Logan County, Illinois",17107,57308,979 of 3146
"Inyo County, California",6027,57316,978 of 3146
"Bartow County, Georgia",13015,57423,977 of 3146
"Sullivan County, New York",36105,57426,976 of 3146
"Blue Earth County, Minnesota",27013,57429,974 of 3146
"St. John the Baptist Parish, Louisiana",22095,57429,974 of 3146
"Cook County, Minnesota",27031,57432,973 of 3146
"Bureau County, Illinois",17011,57436,972 of 3146
"Middlesex County, Virginia",51119,57438,971 of 3146
"Daniels County, Montana",30019,57440,970 of 3146
"Williamsburg City, Virginia",51830,57463,969 of 3146
"Knox County, Tennessee",47093,57470,968 of 3146
"Lincoln County, North Carolina",37109,57536,967 of 3146
"Montgomery County, Tennessee",47125,57541,966 of 3146
"Jones County, Iowa",19105,57549,965 of 3146
"Wells County, North Dakota",38103,57582,964 of 3146
"Madera County, California",6039,57585,963 of 3146
"Portage County, Ohio",39133,57618,962 of 3146
"Mason County, Washington",53045,57634,961 of 3146
"Stutsman County, North Dakota",38093,57674,960 of 3146
"Moore County, Tennessee",47127,57708,959 of 3146
"Harrison County, Indiana",18061,57712,958 of 3146
"Schoharie County, New York",36095,57714,957 of 3146
"Benton County, Minnesota",27009,57715,956 of 3146
"Lincoln County, Maine",23015,57720,954 of 3146
"Tripp County, South Dakota",46123,57720,954 of 3146
"Grant County, Oklahoma",40053,57727,953 of 3146
"Lyon County, Minnesota",27083,57730,952 of 3146
"Burleson County, Texas",48051,57731,951 of 3146
"Knox County, Ohio",39083,57749,950 of 3146
"Knox County, Maine",23013,57751,949 of 3146
"Kingfisher County, Oklahoma",40073,57777,948 of 3146
"Hyde County, South Dakota",46069,57788,947 of 3146
"Stevens County, Kansas",20189,57806,946 of 3146
"Beaver County, Pennsylvania",42007,57807,945 of 3146
"Morrison County, Minnesota",27097,57815,944 of 3146
"Churchill County, Nevada",32001,57824,943 of 3146
"Buffalo County, Wisconsin",55011,57829,942 of 3146
"Lee County, Florida",12071,57832,941 of 3146
"Kings County, California",6031,57848,940 of 3146
"Walla Walla County, Washington",53071,57858,939 of 3146
"Rock County, Wisconsin",55105,57875,938 of 3146
"La Crosse County, Wisconsin",55063,57882,937 of 3146
"Madison County, Virginia",51113,57895,936 of 3146
"Rich County, Utah",49033,57902,935 of 3146
"Jackson County, Kansas",20085,57914,934 of 3146
"Amelia County, Virginia",51007,57946,932 of 3146
"Jo Daviess County, Illinois",17085,57946,932 of 3146
"Decatur County, Indiana",18031,57949,931 of 3146
"Surry County, Virginia",51181,57962,930 of 3146
"Trego County, Kansas",20195,57966,929 of 3146
"Benzie County, Michigan",26019,57974,928 of 3146
"Montgomery County, Virginia",51121,57977,927 of 3146
"Wichita County, Kansas",20203,57978,926 of 3146
"Perkins County, South Dakota",46105,57981,925 of 3146
"Harvey County, Kansas",20079,57982,924 of 3146
"Rosebud County, Montana",30087,57992,923 of 3146
"Shelby County, Iowa",19165,58000,922 of 3146
"Moniteau County, Missouri",29135,58010,921 of 3146
"Wyoming County, New York",36121,58052,920 of 3146
"Yuba County, California",6115,58054,919 of 3146
"Haines Borough, Alaska",2100,58059,918 of 3146
"Fremont County, Idaho",16043,58065,916 of 3146
"Loudon County, Tennessee",47105,58065,916 of 3146
"Walton County, Florida",12131,58093,915 of 3146
"Nez Perce County, Idaho",16069,58107,914 of 3146
"Tipton County, Indiana",18159,58118,913 of 3146
"Erie County, New York",36029,58121,912 of 3146
"Johnson County, Wyoming",56019,58132,911 of 3146
"Brookings County, South Dakota",46011,58136,910 of 3146
"La Salle County, Illinois",17099,58142,909 of 3146
"Grant County, South Dakota",46051,58158,908 of 3146
"Pinal County, Arizona",4021,58174,907 of 3146
"Lee County, Illinois",17103,58194,906 of 3146
"Brown County, South Dakota",46013,58216,905 of 3146
"Sac County, Iowa",19161,58232,904 of 3146
"Brunswick County, North Carolina",37019,58236,903 of 3146
"Jessamine County, Kentucky",21113,58245,902 of 3146
"Orange County, Florida",12095,58254,901 of 3146
"Monroe County, Iowa",19135,58269,900 of 3146
"Steuben County, Indiana",18151,58279,899 of 3146
"Hartley County, Texas",48205,58298,898 of 3146
"Wayne County, Ohio",39169,58300,897 of 3146
"Mitchell County, Iowa",19131,58302,896 of 3146
"St. Clair County, Alabama",1115,58308,895 of 3146
"Baldwin County, Alabama",1003,58320,894 of 3146
"Montour County, Pennsylvania",42093,58333,893 of 3146
"Yankton County, South Dakota",46135,58342,892 of 3146
"Barnes County, North Dakota",38003,58365,891 of 3146
"Cayuga County, New York",36011,58377,890 of 3146
"Ida County, Iowa",19093,58427,888 of 3146
"Lorain County, Ohio",39093,58427,888 of 3146
"Hancock County, Ohio",39063,58450,887 of 3146
"Muscatine County, Iowa",19139,58453,886 of 3146
"Lincoln County, Nevada",32017,58462,885 of 3146
"Marshall County, Illinois",17123,58465,884 of 3146
"Custer County, South Dakota",46033,58522,883 of 3146
"Lincoln County, Wisconsin",55069,58541,882 of 3146
"Winnebago County, Wisconsin",55139,58543,881 of 3146
"Trempealeau County, Wisconsin",55121,58548,880 of 3146
"Red Lake County, Minnesota",27125,58576,879 of 3146
"Dawson County, Montana",30021,58596,878 of 3146
"Kent County, Maryland",24029,58598,877 of 3146
"Caroline County, Maryland",24011,58638,876 of 3146
"Bandera County, Texas",48019,58661,875 of 3146
"Hamilton County, New York",36041,58675,874 of 3146
"Otter Tail County, Minnesota",27111,58682,873 of 3146
"Douglas County, South Dakota",46043,58684,872 of 3146
"Golden Valley County, North Dakota",38033,58690,871 of 3146
"Waupaca County, Wisconsin",55135,58693,870 of 3146
"Appomattox County, Virginia",51011,58696,869 of 3146
"Carbon County, Montana",30009,58707,868 of 3146
"Jackson County, Minnesota",27063,58727,867 of 3146
"Autauga County, Alabama",1001,58731,866 of 3146
"Lafayette County, Missouri",29107,58766,865 of 3146
"Andrew County, Missouri",29003,58772,864 of 3146
"Calhoun County, Texas",48057,58776,863 of 3146
"Dunn County, Wisconsin",55033,58783,862 of 3146
"Chelan County, Washington",53007,58795,861 of 3146
"Dallam County, Texas",48111,58811,860 of 3146
"Winchester City, Virginia",51840,58818,859 of 3146
"Lancaster County, South Carolina",45057,58849,858 of 3146
"Portage County, Wisconsin",55097,58853,857 of 3146
"Colfax County, Nebraska",31037,58872,856 of 3146
"Hillsborough County, Florida",12057,58884,855 of 3146
"Kankakee County, Illinois",17091,58902,854 of 3146
"Ramsey County, North Dakota",38071,58910,853 of 3146
"Jasper County, Iowa",19099,58952,852 of 3146
"Preble County, Ohio",39135,58957,851 of 3146
"Providence County, Rhode Island",44007,58974,850 of 3146
"Butler County, Nebraska",31023,58979,849 of 3146
"Snyder County, Pennsylvania",42109,58997,848 of 3146
"Manatee County, Florida",12081,59009,847 of 3146
"Renville County, Minnesota",27129,59028,846 of 3146
"Cache County, Utah",49005,59038,845 of 3146
"Phelps County, Nebraska",31137,59040,844 of 3146
"Sutter County, California",6101,59050,843 of 3146
"Caribou County, Idaho",16029,59053,842 of 3146
"McPherson County, Kansas",20113,59089,841 of 3146
"Lipscomb County, Texas",48295,59091,840 of 3146
"Lonoke County, Arkansas",5085,59094,839 of 3146
"Ottawa County, Ohio",39123,59099,838 of 3146
"Gillespie County, Texas",48171,59155,837 of 3146
"Otoe County, Nebraska",31131,59167,836 of 3146
"Yellow Medicine County, Minnesota",27173,59210,835 of 3146
"Carroll County, Iowa",19027,59212,834 of 3146
"Woodbury County, Iowa",19193,59224,833 of 3146
"Berkshire County, Massachusetts",25003,59230,832 of 3146
"Dakota County, Nebraska",31043,59231,831 of 3146
"Wells County, Indiana",18179,59237,830 of 3146
"Turner County, South Dakota",46125,59242,829 of 3146
"Meade County, Kansas",20119,59316,828 of 3146
"Winona County, Minnesota",27169,59329,827 of 3146
"Clark County, Nevada",32003,59340,826 of 3146
"Polk County, Minnesota",27119,59343,825 of 3146
"Howard County, Nebraska",31093,59348,824 of 3146
"Logan County, North Dakota",38047,59375,823 of 3146
"Dare County, North Carolina",37055,59381,822 of 3146
"Orange County, Texas",48361,59399,820 of 3146
"Union County, Pennsylvania",42119,59399,820 of 3146
"Colusa County, California",6011,59401,819 of 3146
"Wyoming County, Pennsylvania",42131,59415,818 of 3146
"Buffalo County, Nebraska",31019,59431,817 of 3146
"Thomas County, Nebraska",31171,59432,816 of 3146
"Douglas County, Kansas",20045,59435,815 of 3146
"Wayne County, New York",36117,59449,814 of 3146
"Morrow County, Ohio",39117,59452,813 of 3146
"Coconino County, Arizona",4005,59460,812 of 3146
"Charlottesville City, Virginia",51540,59471,811 of 3146
"Eau Claire County, Wisconsin",55035,59476,810 of 3146
"Burnet County, Texas",48053,59492,809 of 3146
"Livingston County, New York",36051,59510,808 of 3146
"Broward County, Florida",12011,59547,807 of 3146
"Coffey County, Kansas",20031,59583,806 of 3146
"Monroe County, Wisconsin",55081,59587,805 of 3146
"Dallas County, Texas",48113,59607,804 of 3146
"Marion County, Oregon",41047,59625,803 of 3146
"West Feliciana Parish, Louisiana",22125,59637,802 of 3146
"Waller County, Texas",48473,59642,801 of 3146
"Kittson County, Minnesota",27069,59643,800 of 3146
"Boise County, Idaho",16015,59646,799 of 3146
"Harding County, South Dakota",46063,59655,798 of 3146
"Limestone County, Alabama",1083,59686,797 of 3146
"Henry County, Ohio",39069,59695,796 of 3146
"Osceola County, Iowa",19143,59725,795 of 3146
"Chippewa County, Wisconsin",55017,59742,794 of 3146
"Mercer County, Illinois",17131,59787,793 of 3146
"Lincoln County, Nebraska",31111,59795,792 of 3146
"Washington County, Utah",49053,59839,790 of 3146
"Johnston County, North Carolina",37101,59865,789 of 3146
"Sterling County, Texas",48431,59868,788 of 3146
"Wrangell-Petersburg Census Area, Alaska",2280,59926,787 of 3146
"Defiance County, Ohio",39039,59931,786 of 3146
"Henry County, Illinois",17073,59933,785 of 3146
"Sauk County, Wisconsin",55111,59943,784 of 3146
"Moore County, North Carolina",37125,59963,783 of 3146
"Dickinson County, Iowa",19059,59969,782 of 3146
"Polk County, Wisconsin",55095,59994,781 of 3146
"Chickasaw County, Iowa",19037,60034,780 of 3146
"Pottawattamie County, Iowa",19155,60065,779 of 3146
"Cole County, Missouri",29051,60066,778 of 3146
"Monroe County, New York",36055,60075,777 of 3146
"Putnam County, West Virginia",54079,60097,776 of 3146
"Tuolumne County, California",6109,60108,775 of 3146
"Champaign County, Ohio",39021,60112,774 of 3146
"Marshall County, Minnesota",27089,60118,773 of 3146
"Pennington County, Minnesota",27113,60122,772 of 3146
"Thomas County, Kansas",20193,60124,771 of 3146
"Warren County, Missouri",29219,60125,770 of 3146
"Nelson County, Kentucky",21179,60127,769 of 3146
"Ohio County, Indiana",18115,60128,768 of 3146
"Ste. Genevieve County, Missouri",29186,60129,767 of 3146
"Woodward County, Oklahoma",40153,60147,766 of 3146
"Carbon County, Wyoming",56007,60161,765 of 3146
"Hettinger County, North Dakota",38041,60164,764 of 3146
"Fayette County, Texas",48149,60189,762 of 3146
"Rockdale County, Georgia",13247,60189,762 of 3146
"Cooke County, Texas",48097,60202,761 of 3146
"Kings County, New York",36047,60231,759 of 3146
"Murray County, Minnesota",27101,60231,759 of 3146
"Tompkins County, New York",36109,60240,758 of 3146
"Kearney County, Nebraska",31099,60266,757 of 3146
"Lebanon County, Pennsylvania",42075,60281,756 of 3146
"Becker County, Minnesota",27005,60284,755 of 3146
"Kandiyohi County, Minnesota",27067,60294,754 of 3146
"York County, Nebraska",31185,60298,753 of 3146
"Fillmore County, Nebraska",31059,60313,752 of 3146
"Lamar County, Mississippi",28073,60328,751 of 3146
"Hardin County, Texas",48199,60339,750 of 3146
"Dinwiddie County, Virginia",51053,60346,749 of 3146
"Greenville County, South Carolina",45045,60351,748 of 3146
"Winkler County, Texas",48495,60366,747 of 3146
"Bottineau County, North Dakota",38009,60381,746 of 3146
"Houston County, Minnesota",27055,60382,745 of 3146
"Holt County, Nebraska",31089,60387,744 of 3146
"Davidson County, Tennessee",47037,60388,743 of 3146
"Centre County, Pennsylvania",42027,60403,742 of 3146
"Shelby County, Indiana",18145,60404,741 of 3146
"Davie County, North Carolina",37059,60434,740 of 3146
"Kingman County, Kansas",20095,60469,739 of 3146
"Westmoreland County, Pennsylvania",42129,60471,738 of 3146
"Genesee County, New York",36037,60524,737 of 3146
"Lancaster County, Nebraska",31109,60527,736 of 3146
"Lea County, New Mexico",35025,60546,735 of 3146
"Warren County, Indiana",18171,60553,734 of 3146
"Stevens County, Minnesota",27149,60559,733 of 3146
"Meade County, South Dakota",46093,60578,732 of 3146
"Broadwater County, Montana",30007,60594,731 of 3146
"Wilkin County, Minnesota",27167,60595,730 of 3146
"Bonneville County, Idaho",16019,60615,729 of 3146
"Somervell County, Texas",48425,60632,728 of 3146
"Christian County, Missouri",29043,60645,727 of 3146
"Dodge County, Wisconsin",55027,60652,726 of 3146
"Dubois County, Indiana",18037,60666,725 of 3146
"Goliad County, Texas",48175,60690,724 of 3146
"Lafayette County, Wisconsin",55065,60691,723 of 3146
"Sheboygan County, Wisconsin",55117,60696,722 of 3146
"Stanislaus County, California",6099,60704,721 of 3146
"Fayette County, Tennessee",47047,60711,720 of 3146
"Dauphin County, Pennsylvania",42043,60715,719 of 3146
"Madison County, Illinois",17119,60738,718 of 3146
"Lampasas County, Texas",48281,60772,717 of 3146
"Finney County, Kansas",20055,60798,716 of 3146
"LaMoure County, North Dakota",38045,60806,715 of 3146
"Sheridan County, Wyoming",56033,60807,714 of 3146
"White Pine County, Nevada",32033,60827,713 of 3146
"Washington County, Maryland",24043,60860,712 of 3146
"Grady County, Oklahoma",40051,60875,711 of 3146
"Elmore County, Alabama",1051,60891,710 of 3146
"Northwest Arctic Borough, Alaska",2188,60906,709 of 3146
"Oconto County, Wisconsin",55083,60908,708 of 3146
"Hamilton County, Iowa",19079,60910,706 of 3146
"Kent County, Delaware",10001,60910,706 of 3146
"Orange County, Vermont",50017,60925,705 of 3146
"Franklin County, Massachusetts",25011,60950,704 of 3146
"Iredell County, North Carolina",37097,60955,703 of 3146
"Durham County, North Carolina",37063,60958,702 of 3146
"Louisa County, Virginia",51109,60975,701 of 3146
"Ogle County, Illinois",17141,60986,700 of 3146
"Windsor County, Vermont",50027,60987,699 of 3146
"Warren County, New York",36113,61024,698 of 3146
"Brown County, Indiana",18013,61030,697 of 3146
"Marion County, Iowa",19125,61038,696 of 3146
"Miami County, Ohio",39109,61041,695 of 3146
"Allegheny County, Pennsylvania",42003,61043,694 of 3146
"Putnam County, Indiana",18133,61047,693 of 3146
"Nome Census Area, Alaska",2180,61048,692 of 3146
"Brown County, Minnesota",27015,61120,691 of 3146
"Martin County, Florida",12085,61133,690 of 3146
"Guthrie County, Iowa",19077,61161,689 of 3146
"Lexington County, South Carolina",45063,61173,688 of 3146
"Wabaunsee County, Kansas",20197,61178,687 of 3146
"Scott County, Iowa",19163,61183,686 of 3146
"Santa Fe County, New Mexico",35049,61200,685 of 3146
"Fillmore County, Minnesota",27045,61207,684 of 3146
"Hodgeman County, Kansas",20083,61211,683 of 3146
"Yellowstone County, Montana",30111,61264,682 of 3146
"Pope County, Minnesota",27121,61275,681 of 3146
"Tipton County, Tennessee",47167,61291,680 of 3146
"Franklin County, Ohio",39049,61305,679 of 3146
"Sullivan County, New Hampshire",33019,61312,678 of 3146
"Racine County, Wisconsin",55101,61336,677 of 3146
"Southampton County, Virginia",51175,61348,676 of 3146
"Onondaga County, New York",36067,61359,675 of 3146
"Kosciusko County, Indiana",18085,61366,674 of 3146
"Richland County, North Dakota",38077,61371,673 of 3146
"Wakulla County, Florida",12129,61410,672 of 3146
"Foster County, North Dakota",38031,61425,671 of 3146
"Iowa County, Iowa",19095,61443,670 of 3146
"Lake County, Minnesota",27075,61452,669 of 3146
"Moultrie County, Illinois",17139,61456,668 of 3146
"Juab County, Utah",49023,61463,667 of 3146
"McCook County, South Dakota",46087,61507,666 of 3146
"Essex County, New Jersey",34013,61510,665 of 3146
"Moody County, South Dakota",46101,61538,664 of 3146
"Door County, Wisconsin",55029,61560,663 of 3146
"Walton County, Georgia",13297,61599,662 of 3146
"Madison County, New York",36053,61633,661 of 3146
"Brown County, Illinois",17009,61655,660 of 3146
"Osage County, Missouri",29151,61687,659 of 3146
"Kingsbury County, South Dakota",46077,61699,658 of 3146
"Harris County, Texas",48201,61705,657 of 3146
"Houston County, Georgia",13153,61723,656 of 3146
"Whitley County, Indiana",18183,61741,655 of 3146
"Hancock County, Iowa",19081,61761,654 of 3146
"Washington County, Illinois",17189,61763,653 of 3146
"Skagway Hoonah Angoon Census Area, Alaska",2232,61770,652 of 3146
"Minnehaha County, South Dakota",46099,61772,651 of 3146
"Lake County, South Dakota",46079,61846,650 of 3146
"Alfalfa County, Oklahoma",40003,61852,649 of 3146
"Rockingham County, Virginia",51165,61864,648 of 3146
"Cedar County, Nebraska",31027,61869,647 of 3146
"Sangamon County, Illinois",17167,61912,646 of 3146
"Cheatham County, Tennessee",47021,61913,645 of 3146
"Ray County, Missouri",29177,61957,644 of 3146
"McMullen County, Texas",48311,62000,643 of 3146
"Benton County, Oregon",41003,62077,642 of 3146
"Atlantic County, New Jersey",34001,62110,641 of 3146
"McLeod County, Minnesota",27085,62121,640 of 3146
"Sully County, South Dakota",46119,62153,639 of 3146
"Mineral County, Colorado",8079,62188,638 of 3146
"Roseau County, Minnesota",27135,62202,637 of 3146
"Monroe County, Michigan",26115,62203,636 of 3146
"Box Elder County, Utah",49003,62233,635 of 3146
"Sarasota County, Florida",12115,62236,634 of 3146
"Millard County, Utah",49027,62242,633 of 3146
"Columbia County, Oregon",41009,62257,632 of 3146
"Mono County, California",6051,62260,631 of 3146
"Platte County, Nebraska",31141,62305,630 of 3146
"Brown County, Wisconsin",55009,62340,629 of 3146
"Barrow County, Georgia",13013,62345,628 of 3146
"Wood County, Ohio",39173,62390,627 of 3146
"Fond du Lac County, Wisconsin",55039,62391,626 of 3146
"DeKalb County, Georgia",13089,62399,625 of 3146
"Hawaii County, Hawaii",15001,62409,624 of 3146
"Bowman County, North Dakota",38011,62442,623 of 3146
"Franklin County, Indiana",18047,62462,622 of 3146
"Berkeley County, West Virginia",54003,62515,621 of 3146
"Johnson County, Iowa",19103,62542,620 of 3146
"Washington County, Iowa",19183,62556,619 of 3146
"Medina County, Texas",48325,62599,618 of 3146
"Midland County, Michigan",26111,62625,617 of 3146
"Northumberland County, Virginia",51133,62632,616 of 3146
"Marathon County, Wisconsin",55073,62633,615 of 3146
"Lapeer County, Michigan",26087,62641,614 of 3146
"Polk County, Oregon",41053,62691,613 of 3146
"Clinton County, Missouri",29049,62701,612 of 3146
"Augusta County, Virginia",51015,62711,611 of 3146
"Amador County, California",6005,62772,609 of 3146
"Natrona County, Wyoming",56025,62772,609 of 3146
"Stearns County, Minnesota",27145,62789,608 of 3146
"Washington County, Vermont",50023,62791,607 of 3146
"Wagoner County, Oklahoma",40145,62795,606 of 3146
"Jackson County, Texas",48239,62806,605 of 3146
"Macomb County, Michigan",26099,62855,604 of 3146
"Divide County, North Dakota",38023,62865,603 of 3146
"Sheridan County, Kansas",20179,62885,602 of 3146
"Douglas County, Washington",53017,62951,601 of 3146
"Mercer County, Ohio",39107,62952,600 of 3146
"Allegan County, Michigan",26005,62965,599 of 3146
"Ector County, Texas",48135,62973,598 of 3146
"Hall County, Georgia",13139,62984,596 of 3146
"Whatcom County, Washington",53073,62984,596 of 3146
"Ward County, Texas",48475,62986,595 of 3146
"Tioga County, New York",36107,62999,594 of 3146
"Rock County, Minnesota",27133,63005,593 of 3146
"Calhoun County, Illinois",17013,63009,592 of 3146
"Jersey County, Illinois",17083,63028,591 of 3146
"Dubuque County, Iowa",19061,63031,590 of 3146
"Jefferson County, Idaho",16051,63048,589 of 3146
"Campbell County, Kentucky",21037,63050,588 of 3146
"Kent County, Michigan",26081,63053,587 of 3146
"Gaines County, Texas",48165,63054,586 of 3146
"Sargent County, North Dakota",38081,63073,585 of 3146
"Dorchester County, South Carolina",45035,63080,584 of 3146
"Fulton County, Ohio",39051,63092,583 of 3146
"Carlton County, Minnesota",27017,63098,582 of 3146
"Carroll County, New Hampshire",33003,63153,581 of 3146
"Calaveras County, California",6009,63158,580 of 3146
"Sussex County, Delaware",10005,63162,579 of 3146
"Nemaha County, Kansas",20131,63216,578 of 3146
"Duchesne County, Utah",49013,63224,577 of 3146
"Wallace County, Kansas",20199,63269,576 of 3146
"Baker County, Florida",12003,63275,575 of 3146
"Palm Beach County, Florida",12099,63299,574 of 3146
"Robertson County, Tennessee",47147,63307,573 of 3146
"Berkeley County, South Carolina",45015,63309,572 of 3146
"DeKalb County, Illinois",17037,63317,571 of 3146
"Bullitt County, Kentucky",21029,63348,570 of 3146
"San Bernardino County, California",6071,63362,569 of 3146
"Franklin County, Pennsylvania",42055,63379,568 of 3146
"Grafton County, New Hampshire",33009,63389,566 of 3146
"Livingston Parish, Louisiana",22063,63389,566 of 3146
"Uinta County, Wyoming",56041,63403,565 of 3146
"Davis County, Iowa",19051,63404,564 of 3146
"Okaloosa County, Florida",12091,63412,563 of 3146
"Bartholomew County, Indiana",18005,63431,562 of 3146
"Sibley County, Minnesota",27143,63439,561 of 3146
"Meeker County, Minnesota",27093,63452,560 of 3146
"Tazewell County, Illinois",17179,63454,559 of 3146
"Greenlee County, Arizona",4011,63473,558 of 3146
"Worcester County, Maryland",24047,63499,557 of 3146
"Washington County, Pennsylvania",42125,63543,556 of 3146
"Grand Traverse County, Michigan",26055,63575,555 of 3146
"Park County, Wyoming",56029,63582,554 of 3146
"Franklin County, Washington",53021,63584,553 of 3146
"Slope County, North Dakota",38087,63611,552 of 3146
"San Juan County, Washington",53055,63622,551 of 3146
"Pickaway County, Ohio",39129,63633,550 of 3146
"Putnam County, Illinois",17155,63638,549 of 3146
"Sagadahoc County, Maine",23023,63694,548 of 3146
"Perry County, Pennsylvania",42099,63718,547 of 3146
"Marshall County, South Dakota",46091,63723,546 of 3146
"Berks County, Pennsylvania",42011,63728,545 of 3146
"Kenosha County, Wisconsin",55059,63733,544 of 3146
"Alpine County, California",6003,63750,542 of 3146
"Delaware County, Iowa",19055,63750,542 of 3146
"Holmes County, Ohio",39075,63753,541 of 3146
"Walworth County, Wisconsin",55127,63776,540 of 3146
"Sandoval County, New Mexico",35043,63802,539 of 3146
"Shelby County, Ohio",39149,63806,538 of 3146
"Douglas County, Minnesota",27041,63819,537 of 3146
"Woodford County, Kentucky",21239,63820,536 of 3146
"Archer County, Texas",48009,63835,534 of 3146
"Douglas County, Georgia",13097,63835,534 of 3146
"Harrison County, Iowa",19085,63854,533 of 3146
"Jasper County, Indiana",18073,63892,532 of 3146
"Lehigh County, Pennsylvania",42077,63897,531 of 3146
"Yamhill County, Oregon",41071,63902,530 of 3146
"Ransom County, North Dakota",38073,63903,529 of 3146
"Monroe County, Pennsylvania",42089,63934,528 of 3146
"King and Queen County, Virginia",51097,63982,527 of 3146
"Stanton County, Nebraska",31167,63986,526 of 3146
"Boone County, Iowa",19015,64000,525 of 3146
"Lamoille County, Vermont",50015,64003,524 of 3146
"Cleveland County, Oklahoma",40027,64016,523 of 3146
"Charleston County, South Carolina",45019,64022,522 of 3146
"Hood County, Texas",48221,64041,521 of 3146
"Gosper County, Nebraska",31073,64053,520 of 3146
"Auglaize County, Ohio",39011,64074,519 of 3146
"Aurora County, South Dakota",46003,64083,518 of 3146
"Iowa County, Wisconsin",55049,64124,517 of 3146
"McHenry County, North Dakota",38049,64179,516 of 3146
"Lincoln County, Missouri",29113,64196,514 of 3146
"Posey County, Indiana",18129,64196,514 of 3146
"Bedford City and County, Virginia",51917,64199,513 of 3146
"Hamilton County, Nebraska",31081,64210,512 of 3146
"Mathews County, Virginia",51115,64237,511 of 3146
"Ulster County, New York",36111,64304,510 of 3146
"Nelson County, Virginia",51125,64313,509 of 3146
"Morgan County, Indiana",18109,64335,508 of 3146
"Kenton County, Kentucky",21117,64339,507 of 3146
"Eaton County, Michigan",26045,64348,506 of 3146
"Johnson County, Texas",48251,64359,505 of 3146
"Saline County, Arkansas",5125,64412,504 of 3146
"San Joaquin County, California",6077,64432,503 of 3146
"Traill County, North Dakota",38097,64453,502 of 3146
"Lake County, Ohio",39085,64466,501 of 3146
"Floyd County, Indiana",18043,64468,499 of 3146
"Maricopa County, Arizona",4013,64468,499 of 3146
"Valley County, Idaho",16085,64475,498 of 3146
"Cass County, North Dakota",38017,64482,497 of 3146
"Barry County, Michigan",26015,64490,496 of 3146
"LaGrange County, Indiana",18087,64498,495 of 3146
"Green County, Wisconsin",55045,64502,494 of 3146
"Pierce County, Nebraska",31139,64511,493 of 3146
"Wise County, Texas",48497,64536,492 of 3146
"Fallon County, Montana",30025,64545,490 of 3146
"Oldham County, Texas",48359,64545,490 of 3146
"Pembina County, North Dakota",38067,64549,489 of 3146
"Camden County, North Carolina",37029,64572,488 of 3146
