State,FIPS,Value (Dollars),Rank within US
"Highlands County, Florida",12055,40942,2644 of 3146
"Ashe County, North Carolina",37009,40962,2642 of 3146
"Cochran County, Texas",48079,40962,2642 of 3146
"Dona Ana County, New Mexico",35013,40973,2641 of 3146
"Glades County, Florida",12043,40977,2640 of 3146
"Lanier County, Georgia",13173,40986,2639 of 3146
"Washington County, Idaho",16087,40992,2638 of 3146
"Crawford County, Kansas",20037,41004,2637 of 3146
"Martin County, Kentucky",21159,41013,2636 of 3146
"Hertford County, North Carolina",37091,41028,2635 of 3146
"Perry County, Tennessee",47135,41034,2634 of 3146
"Stoddard County, Missouri",29207,41062,2633 of 3146
"Ouachita Parish, Louisiana",22073,41121,2632 of 3146
"Aroostook County, Maine",23003,41123,2631 of 3146
"Hooker County, Nebraska",31091,41125,2629 of 3146
"Warren County, Tennessee",47177,41125,2629 of 3146
"Cameron County, Pennsylvania",42023,41165,2628 of 3146
"Duval County, Texas",48131,41186,2626 of 3146
"Union County, South Carolina",45087,41186,2626 of 3146
